#use gameland;
#﻿INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("#killallzombies", 36.56, 42, "Shooter", "Nov 12, 2014");
#INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("10 Second Ninja X", 209.38, 11, "Platform", "Jul 19, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Ashes Cricket", 90.36, 11, "Sports", "Nov 16, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assassin's Creed Chronicles", 224.49, 52, "Action-adv, stealth", "Assorted");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assassin's Creed IV: Black Flag", 137.77, 10, "Action-adv, stealth", "Feb 22, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assassin's Creed Odyssey", 58.10, 9, "Action-adventure", "Oct 5, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assassin's Creed: Origins", 11.63, 19, "Action-adv, stealth", "Oct 27, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assassin's Creed Rogue Remastered", 209.77, 56, "Action-adventure", "Mar 20, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assassin's Creed Syndicate", 19.39, 32, "Action-adv, stealth", "Oct 23, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assassin's Creed: The Ezio Collection", 173.19, 36, "Action-adventure", "Nov 15, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assassin's Creed Unity", 132.26, 7, "Action-adv, stealth", "Dec 4, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assault Android Cactus", 32.65, 45, "Shoot 'em up", "Mar 9, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assault Suit Leynos", 43.89, 28, "Shooter", "Dec 23, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("The Assembly", 123.43, 33, "Adventure", "Oct 13, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Assetto Corsa", 202.88, 60, "Racing", "Aug 26, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Astraea", 229.51, 10, "City-building", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Atari Flashback Classics: Volume 1", 36.45, 39, "Arcade", "Jan 18, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Atari Flashback Classics: Volume 2", 152.86, 48, "Arcade", "Jan 18, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Atari Flashback Classics: Volume 3", 131.85, 39, "Arcade", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Atelier Firis: The Alchemist and the Mysterious Journey", 120.79, 22, "RPG", "Nov 2, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Atelier Lydie & Suelle: Alchemists of the Mysterious Painting", 109.61, 24, "RPG", "Dec 21, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Atelier Sophie: The Alchemist of the Mysterious Book", 223.33, 31, "RPG", "Nov 19, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Attack on Titan", 214.83, 48, "Action", "Feb 18, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Attack on Titan 2", 187.53, 26, "Action", "Mar 15, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Attractio", 127.09, 39, "First-person, puzzle", "Feb 17, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("ATV Drift & Tricks", 185.85, 27, "Racing", "Jan 18, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Aven Colony", 75.74, 55, "Simulation", "Jul 25, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Away: Journey to the Unexpected", 30.49, 25, "Roguelike", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("A Way Out", 65.04, 20, "Action-adventure", "Mar 23, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Awesomenauts Assemble", 8.37, 22, "Battle arena", "Mar 5, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Axiom Verge", 198.14, 41, "Metroidvania", "Mar 31, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Azkend 2", 180.16, 36, "Puzzle", "May 3, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Aztez", 39.44, 6, "Turn-based strategy", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Backgammon Blitz", 121.60, 12, "Board game", "Dec 18, 2013");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Back to Bed", 143.70, 35, "Puzzle", "Feb 9, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Back to the Future: The Game – 30th Anniversary Edition", 195.29, 33, "Adventure", "Oct 13, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Badass Hero", 189.50, 50, "Action, platform", "2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Badland: Game of the Year Edition", 34.65, 21, "Platform", "May 28, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("The Banner Saga", 143.00, 60, "Tactical RPG", "Jan 12, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("The Banner Saga 2", 186.05, 21, "Tactical RPG", "Jul 5, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Baja: Edge of Control HD", 233.02, 16, "Racing", "Sep 14, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Bastion", 211.62, 0, "RPG", "Apr 8, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Basement Crawl", 27.89, 17, "Action, strategy", "Feb 26, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Batman: Arkham Knight", 212.57, 12, "Action-adventure", "Jul 2, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Batman: Return to Arkham", 144.60, 21, "Action-adventure", "Feb 23, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Batman: The Telltale Series", 34.08, 33, "Graphic adventure", "Aug 2, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Batman: The Enemy Within", 8.88, 44, "Graphic adventure", "Aug 8, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battalion 1944", 89.82, 13, "First-person shooter", "2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battle Chasers: Nightwar", 221.95, 23, "RPG", "Oct 3, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battlefield 1", 232.68, 8, "First-person shooter", "Oct 21, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battlefield 4", 68.79, 37, "First-person shooter", "Feb 22, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battlefield V", 203.17, 53, "First-person shooter", "Oct 19, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battlefield Hardline", 195.50, 17, "First-person shooter", "Mar 19, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battle Garegga Rev.2016", 142.57, 20, "Shoot 'em up", "Dec 12, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battle of the Bulge", 84.38, 21, "Strategy", "Nov 22, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battleship", 41.04, 9, "Strategy", "Aug 12, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battlestar Galactica: Deadlock", 173.79, 1, "Strategy", "Dec 8, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Battle Worlds: Kronos", 97.97, 12, "Turn-based strategy", "Apr 26, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Bears Can't Drift!?", 181.92, 3, "Racing", "Aug 9, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Beast Quest", 144.22, 5, "RPG", "Mar 16, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Beat the Game", 218.22, 25, "Adventure", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Bedlam", 239.75, 25, "First-person shooter", "Oct 14, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Ben 10", 201.84, 56, "Action-adventure", "Nov 10, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Berserk and the Band of the Hawk", 59.93, 12, "Action RPG, hack and slash", "Oct 27, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Beyond Eyes", 225.15, 57, "Adventure", "Sep 8, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Beyond: Two Souls", 26.78, 30, "Interactive drama", "Jun 1, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Binaries", 172.60, 49, "Platform, puzzle", "Aug 30, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("The Binding of Isaac: Rebirth", 247.11, 38, "Action-adv, roguelike", "Oct 28, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Biomutant", 136.44, 60, "Action RPG", "2019");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("BioShock: The Collection", 177.79, 20, "First-person shooter", "Sep 15, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Birthdays the Beginning", 242.18, 51, "Strategy", "Jan 19, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("The Bit.Trip", 10.55, 26, "Action", "Dec 5, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Black & White Bushido", 27.36, 2, "Brawler, stealth", "May 17, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Black the Fall", 39.93, 60, "Adventure, platform", "Jul 11, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blade Strangers", 27.58, 21, "Fighting", "Aug 30, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blackguards: Definitive Edition", 177.28, 14, "Turn-based tactics", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Black Desert Online", 27.11, 22, "MMORPG", "2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blackguards 2", 189.66, 49, "Turn-based tactics", "Nov 17, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blackhole: Complete Edition", 211.83, 44, "Platform, puzzle", "Aug 8, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blackwood Crossing", 97.64, 37, "Adventure", "Apr 4, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blade Arcus from Shining EX", 116.56, 7, "Fighting", "Nov 26, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blade Ballet", 12.18, 53, "Action, battle", "Aug 9, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Bladestorm: Nightmare", 111.24, 44, "Real-time tactics", "Jan 29, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blast 'Em Bunnies", 91.32, 20, "Shooter", "Nov 24, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blast Brawl 2", 166.23, 36, "Fighting, platform", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blasting Agent Ultimate Edition", 206.67, 26, "Platform, shooter", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("BlazBlue: Central Fiction", 155.78, 28, "Fighting", "Oct 6, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("BlazBlue Chrono Phantasma Extend", 157.19, 32, "Fighting", "Apr 23, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("BlazBlue: Cross Tag Battle", 89.71, 37, "Fighting", "May 31, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blazerush", 239.89, 46, "Vehicular combat", "Dec 15, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Bleed", 119.05, 3, "Platform", "Aug 23, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Bleed 2", 102.38, 49, "Platform", "Feb 6, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Bloodborne", 118.23, 19, "Action RPG", "Mar 26, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blood Bowl 2", 239.78, 22, "Sport, turn-based strategy", "Sep 22, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Bloodstained: Ritual of the Night", 47.72, 23, "Metroidvania", "2019");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Bloons TD 5", 29.67, 30, "Strategy, puzzle", "May 9, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blue Estate", 54.81, 17, "First-person shooter", "Jun 24, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Blue Reflection", 224.36, 31, "RPG", "Mar 30, 2017");
